            sIP|            dIP|     packets|          bytes|                     sTime|                     eTime|
     10.0.40.53|192.168.121.145|           1|             40|2015/06/02T13:49:37.789000|2015/06/02T13:49:37.789000|
     67.215.0.8|192.168.121.244|          30|           2744|2015/06/02T13:39:38.875000|2015/06/02T13:49:45.969000|
     67.215.0.8|192.168.121.158|          32|           2848|2015/06/02T13:39:19.562000|2015/06/02T13:49:52.240000|
     10.0.40.53| 192.168.121.57|           1|             40|2015/06/02T13:49:52.376000|2015/06/02T13:49:52.376000|
     10.0.40.53| 192.168.121.77|           1|             40|2015/06/02T13:49:52.873000|2015/06/02T13:49:52.873000|
     10.0.40.53|192.168.121.244|           2|             80|2015/06/02T13:49:59.440000|2015/06/02T13:49:59.443000|
     10.0.40.53|192.168.121.158|           4|            184|2015/06/02T13:50:12.394000|2015/06/02T13:50:12.401000|
     10.0.40.53|192.168.122.195|           9|            408|2015/06/02T13:39:20.845000|2015/06/02T13:39:20.855000|
     10.0.40.53|192.168.122.141|           9|            408|2015/06/02T13:39:40.967000|2015/06/02T13:39:40.980000|
     10.0.40.53|192.168.122.235|           9|            408|2015/06/02T13:40:06.569000|2015/06/02T13:40:06.581000|
     10.0.40.53|192.168.122.146|           9|            408|2015/06/02T13:40:18.721000|2015/06/02T13:40:18.731000|
     10.0.40.53|192.168.122.195|           9|            408|2015/06/02T13:40:21.731000|2015/06/02T13:40:21.742000|
  192.168.40.20|192.168.122.235|           7|            877|2015/06/02T13:40:24.258000|2015/06/02T13:40:24.294000|
     10.0.40.53|192.168.122.141|           8|            368|2015/06/02T13:40:41.963000|2015/06/02T13:40:41.973000|
     10.0.40.20|192.168.122.195|          13|           1714|2015/06/02T13:41:01.355000|2015/06/02T13:41:01.387000|
     10.0.40.20|192.168.122.195|           1|             40|2015/06/02T13:41:01.387000|2015/06/02T13:41:01.387000|
  192.168.40.20|192.168.122.146|           6|            837|2015/06/02T13:41:04.772000|2015/06/02T13:41:04.802000|
     10.0.40.53|192.168.122.235|           9|            408|2015/06/02T13:41:07.144000|2015/06/02T13:41:07.155000|
     10.0.40.53|192.168.122.146|           9|            408|2015/06/02T13:41:19.809000|2015/06/02T13:41:19.821000|
     10.0.40.53|192.168.122.195|           9|            408|2015/06/02T13:41:21.744000|2015/06/02T13:41:21.756000|
     10.0.40.20|192.168.122.235|          20|           3204|2015/06/02T13:41:08.866000|2015/06/02T13:41:22.720000|
     10.0.40.20|192.168.122.235|          20|           3302|2015/06/02T13:41:08.894000|2015/06/02T13:41:22.725000|
     10.0.40.20|192.168.122.235|          24|           2784|2015/06/02T13:41:08.936000|2015/06/02T13:41:22.733000|
     10.0.40.21|192.168.122.195|          11|           2208|2015/06/02T13:41:28.338000|2015/06/02T13:41:28.357000|
     10.0.40.21|192.168.122.195|           1|             40|2015/06/02T13:41:28.357000|2015/06/02T13:41:28.357000|
     10.0.40.21|192.168.122.141|           9|           2128|2015/06/02T13:41:28.414000|2015/06/02T13:41:28.432000|
     10.0.40.21|192.168.122.141|           1|             40|2015/06/02T13:41:28.432000|2015/06/02T13:41:28.432000|
     10.0.40.21|192.168.122.141|           1|             40|2015/06/02T13:41:28.434000|2015/06/02T13:41:28.434000|
     10.0.40.21|192.168.122.141|           1|             40|2015/06/02T13:41:28.434000|2015/06/02T13:41:28.434000|
     10.0.40.53|192.168.122.141|           9|            408|2015/06/02T13:41:42.244000|2015/06/02T13:41:42.256000|
  192.168.40.20|192.168.122.141|           8|           3272|2015/06/02T13:41:53.647000|2015/06/02T13:41:53.677000|
     10.0.40.53|192.168.122.235|           9|            408|2015/06/02T13:42:07.561000|2015/06/02T13:42:07.572000|
     10.0.40.53|192.168.122.146|           9|            408|2015/06/02T13:42:19.823000|2015/06/02T13:42:19.834000|
     10.0.40.53|192.168.122.195|           9|            408|2015/06/02T13:42:22.740000|2015/06/02T13:42:22.752000|
     10.0.40.53|192.168.122.141|           9|            408|2015/06/02T13:42:42.973000|2015/06/02T13:42:42.985000|
     10.0.40.53|192.168.122.235|           9|            408|2015/06/02T13:43:08.557000|2015/06/02T13:43:08.568000|
     10.0.40.53|192.168.122.146|           9|            408|2015/06/02T13:43:20.819000|2015/06/02T13:43:20.832000|
     10.0.40.53|192.168.122.195|           9|            408|2015/06/02T13:43:23.736000|2015/06/02T13:43:23.746000|
     10.0.40.53|192.168.122.141|           9|            408|2015/06/02T13:43:43.969000|2015/06/02T13:43:43.980000|
     10.0.40.53|192.168.122.235|           8|            368|2015/06/02T13:44:08.570000|2015/06/02T13:44:08.580000|
     10.0.40.53|192.168.122.146|           9|            408|2015/06/02T13:44:21.814000|2015/06/02T13:44:21.826000|
     10.0.40.53|192.168.122.195|           1|             40|2015/06/02T13:39:20.855000|2015/06/02T13:39:20.855000|
     10.0.40.53|192.168.122.195|           9|            408|2015/06/02T13:44:24.732000|2015/06/02T13:44:24.848000|
  192.168.40.20|192.168.122.235|           9|           1568|2015/06/02T13:44:14.088000|2015/06/02T13:44:28.713000|
  192.168.40.20|192.168.122.195|           9|           1568|2015/06/02T13:44:25.398000|2015/06/02T13:44:35.888000|
  192.168.40.20|192.168.122.146|           9|           1568|2015/06/02T13:44:25.865000|2015/06/02T13:44:38.618000|
     10.0.40.53|192.168.122.141|           9|            408|2015/06/02T13:44:44.965000|2015/06/02T13:44:44.978000|
     10.0.40.53|192.168.122.141|           1|             40|2015/06/02T13:39:40.980000|2015/06/02T13:39:40.980000|
     10.0.40.20|192.168.122.141|          18|           3136|2015/06/02T13:44:51.556000|2015/06/02T13:45:01.666000|
     10.0.40.53|192.168.122.235|           9|            408|2015/06/02T13:45:09.566000|2015/06/02T13:45:09.578000|
     10.0.40.53|192.168.122.146|           9|            408|2015/06/02T13:45:22.811000|2015/06/02T13:45:22.821000|
     10.0.40.53|192.168.122.195|           9|            408|2015/06/02T13:45:25.743000|2015/06/02T13:45:25.754000|
     10.0.40.53|192.168.122.235|           1|             40|2015/06/02T13:40:06.581000|2015/06/02T13:40:06.581000|
     10.0.40.53|192.168.122.146|           1|             40|2015/06/02T13:40:18.731000|2015/06/02T13:40:18.731000|
     10.0.40.53|192.168.122.195|           1|             40|2015/06/02T13:40:21.742000|2015/06/02T13:40:21.742000|
